doc_id,section_nr,section,paragraph_nr,sentence_nr,sentence,country,data_year
australia_2010,3,Policy problems for Labor,3,3,"In terms of preferred Prime Minister, Kevin Rudd is, nevertheless, ahead of Abbott by about two to one in the opinion polls of preference for the top job.",Australia 2010,2010
australia_2010,3,Policy problems for Labor,3,4,"There is much uncertainty about who will win the next general election, very likely to be held in August, September or October of 2010. It is true, however, that one needs to go back to December 1931 to find a case of a government defeated after only one term.",Australia 2010,2010
australia_2010,3,Policy problems for Labor,3,5,"On that basis, 2010 would see Rudd winning a second general election.",Australia 2010,2010
australia_2010,3,Policy problems for Labor,3,6,"On the other hand, 2010 is likely to see serious problems for Rudd in respect of asylum seekers and climate change policy.",Australia 2010,2010
australia_2010,3,Policy problems for Labor,3,7,In these circumstances it would be unwise to make any predictions about the type of election and its result.,Australia 2010,2010
australia_2010,3,Policy problems for Labor,3,8,"Like almost every other commentator I underestimated the degree of personal hostility in the Labor Party caucus towards Kevin Rudd. (This is best described in the book The Party Thieves by well‐known journalist Barrie Cassidy.) Nevertheless, just as Rudd was facing serious problems on these policies so they became serious headaches for his successor, Julia Gillard.",Australia 2010,2010
australia_2010,3,Policy problems for Labor,3,9,Since climate change is more important than asylum seekers I take it first.,Australia 2010,2010
australia_2010,3,Policy problems for Labor,3,10,After discussing these two policies I consider another policy difficulty which beset the Rudd–Gillard Government.,Australia 2010,2010
australia_2010,4,Climate change,1,1,It was climate change policy which nearly brought an end to the Labor Government and nearly restored climate change denial as the de facto official policy of the Australian government.,Australia 2010,2010
australia_2010,4,Climate change,1,2,"In my review last year (pp. 871–874) I mentioned that 2009 was dominated by this subject and, in particular, the parliamentary debate on Kevin Rudd's Carbon Pollution Reduction Scheme – the official title of the proposed emissions trading scheme.",Australia 2010,2010
australia_2010,4,Climate change,1,3,I also mentioned that on 3 December 2009 the legislation was rejected in the Senate by a margin of 42 votes to 34 (p. 873). I should have mentioned that the Greens joined the Liberals and Nationals in rejecting the legislation.,Australia 2010,2010
australia_2010,4,Climate change,1,4,"As with several issues, the Labor position lay in the middle.",Australia 2010,2010
australia_2010,4,Climate change,1,5,The Liberals and Nationals were against the legislation because they are climate change deniers.,Australia 2010,2010
australia_2010,4,Climate change,1,6,The Greens were against the legislation because it did not go far enough.,Australia 2010,2010
australia_2010,4,Climate change,1,7,"Due to the need for compensation for losers, the Greens tried to argue that the legislation was a kind of massive bounty to what they called ‘the big polluters’. Just what motivated this cynical gang‐up of left and right against the centre was debated by commentators.",Australia 2010,2010
australia_2010,4,Climate change,1,8,Some argued that the Senate merely rejected bad legislation.,Australia 2010,2010
australia_2010,4,Climate change,1,9,I argued that these three parties were cynically engineering the result to the 2010 election they wanted.,Australia 2010,2010
australia_2010,4,Climate change,1,10,"Anyway, they succeeded.",Australia 2010,2010
australia_2010,4,Climate change,1,11,"As the party in the middle, Labor bled votes and seats to the left and right (See Tables 1 and 2). In the House of Representatives election there was a swing of 2.6 per cent from Labor to Liberal‐National in the two‐party preferred vote.",Australia 2010,2010
australia_2010,4,Climate change,1,12,For the elections in both houses the shares of the first‐preference vote for the Greens rose by 4 per cent.,Australia 2010,2010
australia_2010,4,Climate change,1,13,"As I mentioned last year, however, Rudd did have another option.",Australia 2010,2010
australia_2010,4,Climate change,1,14,He could have called an early double dissolution election.,Australia 2010,2010
australia_2010,4,Climate change,2,15,On the morrow of the Senate rejection Rudd went to the Copenhagen climate change conference.,Australia 2010,2010
australia_2010,4,Climate change,2,16,"He took with him sixty advisers, much to the derision of Abbott and his party.",Australia 2010,2010
australia_2010,4,Climate change,2,17,The conference turned out to be an absolute calamity for Rudd and his supporters.,Australia 2010,2010
australia_2010,4,Climate change,2,18,"Consequently, when he returned to Australia he was in a bad mood.",Australia 2010,2010
australia_2010,4,Climate change,2,19,"He and his advisers discussed the possibility of a double dissolution with polling day for the election set down as Saturday, 20 February 2010. A minority of his advisers favoured this option.",Australia 2010,2010
australia_2010,4,Climate change,2,20,They argued that any failure to do that would show Rudd to be without conviction.,Australia 2010,2010
australia_2010,4,Climate change,2,21,"Rudd had repeatedly referred to climate change as ‘the great moral challenge of our time’. He could not back away from this fight, they claimed.",Australia 2010,2010
australia_2010,4,Climate change,2,22,"However, the majority of his advisers thought otherwise.",Australia 2010,2010
australia_2010,4,Climate change,2,23,They thought Labor would lose such an election.,Australia 2010,2010
australia_2010,4,Climate change,2,24,"Ultimately, Rudd did not proceed to the election.",Australia 2010,2010
australia_2010,4,Climate change,2,25,In the end he was not even a Prime Minister given the chance to name an election date. (My description about Rudd's advisers above was not known at the time.,Australia 2010,2010
australia_2010,4,Climate change,2,26,We pundits speculated about it all but we actually knew nothing then.) Late in April came an important leak.,Australia 2010,2010
australia_2010,4,Climate change,2,27,"Lenore Taylor of The Sydney Morning Herald published a front page article titled ‘ETS off the agenda until late next term’. The article began: ‘The Rudd government has shelved its emissions trading scheme for at least three years in a bid to defuse Tony Abbott's “great big new tax” attack in this year's election campaign.’ The next sentence read: ‘The cabinet's strategic priorities and budget committee has removed the scheme from the four‐year forward estimates, a decision that saves $2.5 billion because household and industry compensation would have exceeded the revenue generated by the scheme in its early years.’",Australia 2010,2010
australia_2010,4,Climate change,3,28,During the election campaign Julia Gillard tried to finesse the climate change issue – but with limited success.,Australia 2010,2010
australia_2010,4,Climate change,3,29,The impression created was that Labor was not serious about climate change.,Australia 2010,2010
australia_2010,4,Climate change,3,30,"That is an important reason for the rise in support for the Greens (see Tables 1 and 2). In the end, however, Australia finished up with a government that does believe that there is global warming going on and does think something should be done about it.",Australia 2010,2010
australia_2010,4,Climate change,3,31,"After the election was over and Labor needed to form a minority government, the deals it did with the Greens and independents included the imposition of some form of carbon tax, to be implemented no later than 2012.",Australia 2010,2010
australia_2010,5,Asylum seeker boats,1,1,Back in the days of the Howard Government there were developed the toughest policies to deter refugees arriving on Australia's shores by boat.,Australia 2010,2010
australia_2010,5,Asylum seeker boats,1,2,"These various policies, though vile from a humanitarian point of view, were, nevertheless, largely successful in stopping these arrivals of self‐selected refugees.",Australia 2010,2010
australia_2010,5,Asylum seeker boats,1,3,"Howard and his ministers would damn them as ‘queue jumpers’, ‘illegal immigrants’, etc., etc., thereby ensuring that such refugees would know they were not welcome.",Australia 2010,2010
australia_2010,5,Asylum seeker boats,1,4,"Under the Labor Government, however, some of the nastier Howard‐era features were repealed.",Australia 2010,2010
australia_2010,5,Asylum seeker boats,1,5,The coalition predicted that the boats would start coming again.,Australia 2010,2010
australia_2010,5,Asylum seeker boats,1,6,They were right.,Australia 2010,2010
australia_2010,5,Asylum seeker boats,1,7,"That they were right was fully exploited by Abbott and his party during 2010. His most common slogan throughout the year was ‘Stop the Boats!’ This slogan was uttered by him even more often than his other favourites: ‘Stop the Waste!’ and ‘Stop the great big new Taxes!’ (During the election campaign itself Abbott's television advertisements had him saying: ‘We will stop the boats, stop the great big new taxes, end the waste and pay back Labor's debt.’) That such a ridiculous assertion as ‘the Australian government has lost control of its borders’ (repeated many times by Abbott and his supporters) could gain such currency would surprise many foreign observers.",Australia 2010,2010
australia_2010,5,Asylum seeker boats,1,8,Some more detail is needed to explain this paradox.,Australia 2010,2010
australia_2010,5,Asylum seeker boats,1,9,"For many years Australia has had an annual intake of 13,750 refugees.",Australia 2010,2010
australia_2010,5,Asylum seeker boats,1,10,"In an ideal world this would mean 13,750 people (established as refugees by the United Nations High Commissioner for Refugees and invited to Australia by the Australian government) would come to Australia by the so‐called ‘front door’. However if, say, 3,000 come as boat people and are given permanent residency as refugees, then only 10,750 can come in by the ‘front door’. In 2010 there were a record 6,232 refugees coming by boat, leaving only 7,518 refugees coming in by the ‘front door’. The boat people refugees were 2,877 Afghans, 1,120 Iranians, 688 Iraqis, 537 Sri Lankans, 96 Burmese, 61 Kuwaitis, 43 Palestinians and 810 ‘others’. (Most of the ‘others’ could not be identified by country and so were listed as stateless.) I mentioned last year that forty boats arrived in 2009. The pace quickened in 2010. It was reported in late March as follows: ‘The 100th asylum boat to arrive since Kevin Rudd took office sailed directly to Christmas Island yesterday, arriving quietly at Flying Fish Cove before those aboard phoned authorities, requesting to be picked up.’ During the election campaign Gillard advanced a number of policy options designed to give the impression that Labor would be tougher in the future.",Australia 2010,2010
australia_2010,5,Asylum seeker boats,1,11,"These plans, however, did not satisfy Abbott or his party.",Australia 2010,2010
australia_2010,5,Asylum seeker boats,1,12,"His comment was: ‘You've got to be tough to protect our borders, and this government is not tough enough to do it.’",Australia 2010,2010
australia_2010,5,Asylum seeker boats,2,13,"In the end, however, the main deterrents to people arriving by boat seem to be the need for a lengthy stay in detention (while refugee claims are assessed) plus the number of boat people (unknown but thought to be about a hundred a year) who drown on their way to Australia.",Australia 2010,2010
australia_2010,5,Asylum seeker boats,2,14,"A particularly bad incident occurred on 15 December when a boat crashed into rocks on Christmas Island, killing 48. In January 2011 not a single boat arrived.",Australia 2010,2010
australia_2010,5,Asylum seeker boats,2,15,This argument could well continue for a long time.,Australia 2010,2010
australia_2010,5,Asylum seeker boats,2,16,Supporters of ‘Stop the Boats!’ argue that the punitive policy of nastiness towards boat people is really humanitarian policy because it saves lives.,Australia 2010,2010
australia_2010,5,Asylum seeker boats,2,17,"Others, including me, argue that discriminating against boat people is a policy contrary to international law.",Australia 2010,2010
australia_2010,5,Asylum seeker boats,2,18,These refugees have a right under international law to seek asylum.,Australia 2010,2010
australia_2010,5,Asylum seeker boats,2,19,People of my way of thinking ask the ‘Stop the Boats!’ crowd to provide some evidence that boat people make bad Australian citizens.,Australia 2010,2010
australia_2010,5,Asylum seeker boats,2,20,They cannot because all the evidence is that boat people make very good citizens.,Australia 2010,2010
australia_2010,5,Asylum seeker boats,2,21,The slogan ‘Stop the Boats!’ is not motivated by humanitarian concerns.,Australia 2010,2010
australia_2010,5,Asylum seeker boats,2,22,It is simply explained. ‘Stop the Boats!’ is a vote‐winning slogan.,Australia 2010,2010
australia_2010,6,Proposed Mineral Resources Rent Tax,1,1,"Kevin Rudd had commissioned the Secretary to the Treasury, Ken Henry, to undertake a full review of Australia's taxation arrangements.",Australia 2010,2010
australia_2010,6,Proposed Mineral Resources Rent Tax,1,2,The review was published on 2 May and provoked this comment from Ross Gittins of The Sydney Morning Herald:,Australia 2010,2010
australia_2010,6,Proposed Mineral Resources Rent Tax,3,3,"If history is any guide, pretty much all the nasty changes proposed in the Henry tax review will be implemented.",Australia 2010,2010
australia_2010,6,Proposed Mineral Resources Rent Tax,3,4,"We shall end up with a congestion tax on cars, much higher tax on wine, land tax on the family home, higher tax on capital gains, cutbacks in negative gearing, a tax on bequests and annual increases in petrol tax.",Australia 2010,2010
australia_2010,6,Proposed Mineral Resources Rent Tax,3,5,"However, as Gittins and others pointed out, neither Prime Minister Kevin Rudd nor Treasurer Wayne Swan were interested in all that.",Australia 2010,2010
australia_2010,6,Proposed Mineral Resources Rent Tax,3,6,"The item in the Henry review which really excited their interest was for a tax on the mining industry, described at the time as the proposed Mineral Resources Super Profits Tax.",Australia 2010,2010
australia_2010,6,Proposed Mineral Resources Rent Tax,3,7,"It would have been worth AUS$12 billion a year and would have been used to boost the retirement savings of workers, lower business taxes and build infrastructure.",Australia 2010,2010
australia_2010,6,Proposed Mineral Resources Rent Tax,3,8,The mining industry responded by spending AUS$22 million on a television campaign against the government.,Australia 2010,2010
australia_2010,6,Proposed Mineral Resources Rent Tax,3,9,It had its effect and was one of the reasons why Rudd lost his position as Prime Minister.,Australia 2010,2010
australia_2010,6,Proposed Mineral Resources Rent Tax,3,10,Gillard then moved in to fix the problem politically.,Australia 2010,2010
australia_2010,6,Proposed Mineral Resources Rent Tax,3,11,The proposed tax was re‐named as the ‘Mineral Resources Rent Tax’ and changes to it meant that the government would get ‘only’ AUS$7 billion a year.,Australia 2010,2010
australia_2010,6,Proposed Mineral Resources Rent Tax,3,12,The change was enough to enable Labor to win the election.,Australia 2010,2010
australia_2010,6,Proposed Mineral Resources Rent Tax,3,13,"The mining states, Queensland and Western Australia, voted solidly against Labor – but not enough to stop the party from winning.",Australia 2010,2010
australia_2010,6,Proposed Mineral Resources Rent Tax,3,14,"The election was won for Labor in the non‐mining states of New South Wales, Victoria, South Australia and Tasmania.",Australia 2010,2010
australia_2010,7,The drought breaks,1,1,"Australia's most distinguished poet, Dorothea Mackellar (1885–1968), famously described Australia as a ‘sunburnt country’ and as a land of ‘droughts and flooding rains’. For the most part Australia has been a land of droughts.",Australia 2010,2010
australia_2010,7,The drought breaks,1,2,"In eastern Australia there has only ever been one lengthy wet period: the years 1945–1956, inclusive.",Australia 2010,2010
australia_2010,7,The drought breaks,1,3,No one expects that ever again.,Australia 2010,2010
australia_2010,7,The drought breaks,1,4,"Since the infamous ‘Federation Drought’ (1895–1903), the pattern has been one of lengthy droughts (described as ‘major’ or ‘devastating’) followed by short wet periods.",Australia 2010,2010
australia_2010,7,The drought breaks,1,5,"The years when John Howard was Prime Minister (1996–2007) were drought‐plagued, and the ‘devastating drought’ continued in 2008 and 2009. The drought broke in 2010. The actual month of the breaking depended on the declarations of the states, but it broke first in Queensland and last in Victoria.",Australia 2010,2010
australia_2010,7,The drought breaks,1,6,The Australian newspaper commemorated the ending of the drought in a special supplement on the weekend of l3–14 November.,Australia 2010,2010
australia_2010,7,The drought breaks,2,7,In terms of the weather Western Australia has always been a different country.,Australia 2010,2010
australia_2010,7,The drought breaks,2,8,Consequently the position for 2011 is very predictable.,Australia 2010,2010
australia_2010,7,The drought breaks,2,9,The south of Western Australia (including the Perth metropolitan area and virtually the entire agricultural region) will continue to suffer devastating drought.,Australia 2010,2010
australia_2010,7,The drought breaks,2,10,"For the rest, Australia will be a land of flooding rains.",Australia 2010,2010
australia_2010,8,The Australian states,1,1,"The nine Australian jurisdictions (the Commonwealth, six states and two territories) saw an essential stability in terms of government leadership in 2010. Seven jurisdictions saw no change at the top.",Australia 2010,2010
australia_2010,8,The Australian states,1,2,Only the office of Prime Minister and Premier of Victoria changed.,Australia 2010,2010
australia_2010,8,The Australian states,1,3,"In the case of Victoria, the premiership changed on 2 December from John Brumby (Labor) to Ted Baillieu (Liberal). Brumby had been Premier since 30 July 2007 but had never won a general election, succeeding the three‐times election‐winning Steve Bracks in a smooth transition within the Labor Party.",Australia 2010,2010
australia_2010,8,The Australian states,1,4,"Baillieu, an architect by profession, was born in July 1953 and may best be described as a patrician, being very tall and from a famous Victorian family.",Australia 2010,2010
australia_2010,8,The Australian states,1,5,"There were three state general elections in 2010. In chronological order they were in South Australia and Tasmania (by chance on the same day: Saturday, 20 March) and in Victoria on 27 November.",Australia 2010,2010
australia_2010,8,The Australian states,1,6,"Victoria has a fixed term of Parliament, elections being fixed to be held on the last Saturday in November every fourth year.",Australia 2010,2010
australia_2010,8,The Australian states,1,7,"Consequently, recent elections have been on 30 November 2002, 25 November 2006 and 27 November 2010. The interesting psephological feature of the simultaneous South Australian and Tasmanian lower house elections lies in their very different electoral systems.",Australia 2010,2010
australia_2010,8,The Australian states,1,8,The South Australian system is like that for the federal House of Representatives – preferential voting in single‐member constituencies.,Australia 2010,2010
australia_2010,8,The Australian states,1,9,"Tasmania's system is known in Australia as ‘Hare‐Clark’, but is essentially the same as the Irish system which is known in that country as ‘proportional representation by means of the single transferable vote’. Not surprisingly, the translation of votes into seats was very proportional in Tasmania and very disproportional in South Australia.",Australia 2010,2010
australia_2010,8,The Australian states,1,10,"In Tasmania the Labor and Liberal parties each won ten seats with the Greens five, in a total House of Assembly of 25. In South Australia Labor won 26 of the 47 seats, the Liberals 18 and three independents were elected, in a total House of Assembly of 47. South Australia's senior premier, Mike Rann (Labor), continued in office leading a majority government.",Australia 2010,2010
australia_2010,8,The Australian states,1,11,This type of electoral system typically over‐represents Labor.,Australia 2010,2010
australia_2010,8,The Australian states,1,12,"Federally, the over‐representation is 10 per cent (see Table 1 above), while in South Australia it is 18 per cent.",Australia 2010,2010
australia_2010,8,The Australian states,2,13,In Tasmania the effect of the electoral system was that Labor lost the majority it had previously enjoyed.,Australia 2010,2010
australia_2010,8,The Australian states,2,14,"After three weeks of uncertainty, the existing Labor Premier, David Bartlett, was sworn in again but in a coalition government with the Greens whose leader, Nick McKimm, became Minister for Consumer Protection and Climate Change.",Australia 2010,2010
australia_2010,8,The Australian states,2,15,"The Victorian election on 27 November was conducted according to substantially the same electoral rules as those applying federally, save only that upper house members (unlike federal senators) do not rotate.",Australia 2010,2010
australia_2010,8,The Australian states,2,16,The same four‐year term applies to both houses.,Australia 2010,2010
australia_2010,8,The Australian states,2,17,"The lower house is known as the ‘Legislative Assembly’ (88 members) and the upper house as the ‘Legislative Council’ (40 members). In November 2006, in the Legislative Assembly election, Labor won 55 seats, the Liberals 23 and the Nationals nine.",Australia 2010,2010
australia_2010,8,The Australian states,2,18,"One Independent was elected, in the seat of Gippsland East.",Australia 2010,2010
australia_2010,8,The Australian states,2,19,"In November 2010, Labor won 43 seats (a loss of 12), the Liberals 35 (a gain of 12) and the Nationals 10 (a gain of a single seat). The Independent member for Gippsland East was defeated by a National.",Australia 2010,2010
australia_2010,8,The Australian states,2,20,"All of the Labor, Liberal and National parties have enjoyed over‐representation in terms of their votes converting into seats.",Australia 2010,2010
australia_2010,8,The Australian states,2,21,"The Greens, other minor parties and independents (whose votes added up to 19 per cent of the total first‐preference vote) have seen all these votes convert into no seats at all.",Australia 2010,2010
australia_2010,8,The Australian states,2,22,"In November 2006, in the Legislative Council election, Labor won 19 seats, the Liberals 15, the Nationals two, the Greens three and another minor party won a single seat.",Australia 2010,2010
australia_2010,8,The Australian states,2,23,"In November 2010, Labor won 16 seats (a loss of three), the Liberals 18 (a gain of three), the Nationals three (a one‐seat gain) and the Greens also three (no change). The other minor party member lost his seat to a National.",Australia 2010,2010
australia_2010,8,The Australian states,2,24,The coalition government of Liberals (led by Ted Baillieu) and Nationals (led by Peter Ryan) was sworn in on 2 December.,Australia 2010,2010
australia_2010,8,The Australian states,2,25,"On the same day, John Brumby announced that he would resign as Labor leader.",Australia 2010,2010
australia_2010,8,The Australian states,2,26,The Labor caucus elected Daniel Andrews as the new leader.,Australia 2010,2010
australia_2010,8,The Australian states,2,27,He now becomes the Leader of the Opposition.,Australia 2010,2010
australia_2010,9,Conclusion,1,1,"At the end of the year, the Gillard Government was looking reasonably successful.",Australia 2010,2010
australia_2010,9,Conclusion,1,2,"Notwithstanding being in a minority in both the House of Representatives and the Senate it was, nevertheless, able to get parliamentary approval for all its legislation in the session which ran from late September to early December.",Australia 2010,2010
australia_2010,9,Conclusion,1,3,"Unfortunately for Gillard, however, significant doubts remain about her ability.",Australia 2010,2010
australia_2010,9,Conclusion,1,4,She has plenty of people who wish her ill.,Australia 2010,2010
australia_2010,9,Conclusion,1,5,"These are mainly supporters of the Liberal and National parties, but also include some Labor supporters still resenting the way in which she replaced Kevin Rudd.",Australia 2010,2010
australia_2010,9,Conclusion,1,6,"This latter type of ill‐wisher is best illustrated by well‐known media commentator, Phillip Adams, who had resigned his life‐long Labor membership in protest when the leadership change occurred.",Australia 2010,2010
australia_2010,9,Conclusion,1,7,Writing in The Weekend Australian early in February 2011 he asserted: ‘The failure of Gillard truly to replace Rudd is agonisingly obvious.,Australia 2010,2010
australia_2010,9,Conclusion,1,8,Her tenure in the job is tenuous.,Australia 2010,2010
australia_2010,9,Conclusion,1,9,Senior members of her Cabinet see her as a flop.,Australia 2010,2010
australia_2010,9,Conclusion,1,10,They are talking about dumping her.,Australia 2010,2010
australia_2010,9,Conclusion,1,11,"Sooner rather than later.’ Later in the article Adams wrote: ‘Having lost so much talent in the Gillard‐led election disaster, the pickings are not merely slim but skeletal.",Australia 2010,2010
australia_2010,9,Conclusion,1,12,"Nonetheless, Gillard will go down in history as . . . a footnote?",Australia 2010,2010
australia_2010,9,Conclusion,1,13,A foolish mistake.,Australia 2010,2010
australia_2010,9,Conclusion,1,14,Certainly she'll go down in history.,Australia 2010,2010
australia_2010,9,Conclusion,1,15,Straight down.’ What am I to say about that line of thinking?,Australia 2010,2010
australia_2010,9,Conclusion,2,16,My take is to deny absolutely the view that the election result was a disaster for Labor.,Australia 2010,2010
australia_2010,9,Conclusion,2,17,"The election was very close but Labor won and is, therefore, still in government.",Australia 2010,2010
australia_2010,9,Conclusion,2,18,"If Rudd had been leader, Labor would have lost.",Australia 2010,2010
australia_2010,9,Conclusion,2,19,"I cannot prove that assessment but I have strong support for this view in the book The Party Thieves by Barrie Cassidy, to which I referred above.",Australia 2010,2010
australia_2010,9,Conclusion,3,20,Back in August 2008 I had an article published in The Weekend Australian in which I ranked the then 26 holders of the office of Australian Prime Minister in order of greatness.,Australia 2010,2010
australia_2010,9,Conclusion,3,21,"I had four ‘greats’ (Robert Menzies, John Curtin, Alfred Deakin and Andrew Fisher), nine ‘high average’, nine ‘low average’ and four ‘failures’. I placed Rudd among the nine cases of ‘low average’– admittedly high up in that category.",Australia 2010,2010
australia_2010,9,Conclusion,3,22,When Gillard loses office (perhaps in October 2013 but perhaps later than that) I shall re‐write that article.,Australia 2010,2010
australia_2010,9,Conclusion,3,23,"I expect that I shall place her in the ‘high average’ category, perhaps at number 11 out of 27. In other words, I think she will rank in the top half.",Australia 2010,2010
australia_2010,9,Conclusion,3,24,Time will tell!,Australia 2010,2010
australia_2011,1,Federal parliament in 2011,1,1,This article considers the major events in their order of importance as assessed by me.,Australia 2011,2011
australia_2011,1,Federal parliament in 2011,1,2,There were certain identical characteristics between 1 January 2011 and 2012. The Prime Minister and leader of the Labor Party was Julia Gillard.,Australia 2011,2011
australia_2011,1,Federal parliament in 2011,1,3,The Leader of the Opposition and of the Liberal Party was Tony Abbott.,Australia 2011,2011
australia_2011,1,Federal parliament in 2011,1,4,"Also unchanged were the leaders of the Nationals (Warren Truss) and the Greens (Senator Bob Brown). The Greens differ from the other three parties in that, due to the electoral system of proportional representation for the Senate, the Greens are essentially a Senate party, having only one member of the House of Representatives (out of 150) but having nine of the 76 senators.",Australia 2011,2011
australia_2011,1,Federal parliament in 2011,1,5,"As can be seen from Tables 1 and 2, the Greens' share of Senate seats roughly corresponds to their votes.",Australia 2011,2011
australia_2011,1,Federal parliament in 2011,1,6,Not so in the House of Representatives.,Australia 2011,2011
